Reservoir Name,Station ID,Approximate Capacity (AF)
GERBER,GBR,9999
CLEAR LK - KLAMATH R,CLK,4552
UPPER KLAMATH,KLM,4097
IRON GATE RESERVOIR,IRG,2328
DWINNELL RESERVOIR NEAR EDGEWOOD,DRE,2805
TRINITY LAKE,CLE,2370
LEWISTON,LEW,1870
RUTH DAM,RTD,2675
LAKE PILLSBURY NR POTTER VLY 24HR AVG,LPY,1828
COYOTE (LAKE MENDOCINO),COY,720
WARM SPRINGS (LAKE SONOMA),WRS,440
LAGUNITAS LAKE,LGT,799
BON TEMPE,BMP,723
ALPINE LAKE,APN,654
KENT,KNT,415
SOULAJULE DAM,SLJ,344
NICASIO,NCA,180
LAKE HENNESSEY,HNN,331
BRIONES DAM,BIO,588
CALAVERAS,CVE,775
DEL VALLE,DLV,703
U SAN LEANDRO,USL,477
SAN ANTONIO RESERVOIR,SAT,468
CHABOT,CHB,250
ELMER J CHESBRO RESERVOIR,EJC,394
GUADALUPE RESERVOIR,GDR,488
CALERO RESERVOIR,CRO,196
LAKE ELSMAN (AUSTRIAN DAM),AST,1125
COYOTE RES-STA CLARA,CYC,755
LEXINGTON RESERVOIR,LNG,659
LEROY ANDERSON,LRA,640
STEVENS CREEK RESERVOIR,SEC,1245
LOWER CRYSTAL SPRINGS RESERVOIR,CRY,293
LAFAYETTE,LFY,465
SAN ANDREAS,SNN,456
SAN PABLO,SPB,330
LOCH LOMOND (NEWELL CREEK DAM),NWL,925
UVAS RESERVOIR,UVA,1357
SANTA MARGARITA LAKE,SLN,1325
LAKE SAN ANTONIO,ATN,779
WHALE ROCK,WHR,233
NACIMIENTO,NCM,784
LOPEZ LAKE,LOP,759
TWITCHELL RESERVOIR,TWT,692
GIBRALTAR DAM,GBL,1399
CACHUMA LAKE (BRADBURY DAM),CCH,781
JUNCAL DAM (JAMESON LAKE),JML,610
MATILIJA DAM,MAT,1138
CASITAS,CSI,335
BOUQUET CANYON,BQC,3008
PYRAMID,PYM,2606
CASTAIC,CAS,1535
LAKE PIRU,PRU,213
COGSWELL RESERVOIR,CGS,2405
SAN GABRIEL,SGB,1481
LAKE MATHEWS,MHW,1404
LAKE HEMET,HMT,4202
PERRIS,PRR,1600
BEAR VALLEY DAM,BRV,6743
SEVEN OAKS DAM,SVO,2610
RAILROAD CANYON,RLC,1398
SANTIAGO CREEK RES (IRVINE LAKE),SGC,810
VILLA PARK,VLP,584
DIAMOND VALLEY,DMV,1756
VAIL LAKE,VIL,1470
SUTHERLAND RESERVOIR,STD,2074
OLIVENHAIN RESERVOIR,OLH,800
LAKE HODGES,HDG,315
CUYAMACA DAM,CUY,4641
MORENA DAM,MOR,3053
HENSHAW,HNS,2740
BARRETT,BRT,1607
SKINNER,SKN,1479
MIRAMAR,MMR,720
LAKE JENNINGS,JNN,707
EL CAPITAN DAM,ELC,600
SAN VICENTE,SVT,560
MURRAY RESERVOIR,MRR,542
LOVELAND RESERVOIR,LVD,1366
SWEETWATER RESERVOIR,SW3,252
LOWER OTAY,LOT,485
WHISKEYTOWN DAM (USBR),WHI,1210
SHASTA DAM (USBR),SHA,1067
KESWICK RESERVOIR,KES,596
LAKE MCCLOUD,MCO,2700
LAKE BRITTON,BIT,2744
IRON CANYON,IRC,2675
PIT R NO 6 RESERVOIR,PT6,1362
PIT R NO 7 RESERVOIR,PT7,1274
EAST PARK RESERVOIR,EPK,1205
STONY GORGE RESERVOIR,STG,800
BLACK BUTTE,BLB,426
LAKE DAVIS (DWR),DAV,5768
FRENCHMAN DAM,FRD,5517
BUCKS LAKE STORAGE,BCL,5168
LITTLE GRASS VALLEY,LGV,5047
MOUNTAIN MEADOWS,MMW,5046
ANTELOPE LAKE,ANT,4960
LAKE ALMANOR,ALM,4600
BUTT VALLEY,BTV,4144
SLY CREEK,SLC,3536
OROVILLE DAM,ORO,900
THERMALITO FOREBAY,TFR,230
THERMALITO DIVERSION POOL,THD,230
THERMALITO AFTERBAY,TAB,140
THERMALITO TOTAL,TMT,140
FRENCH LAKE,FRL,6664
JACKSON MEADOWS (NEVADA CO WD),JCK,6037
BOWMAN LAKE,BWN,5566
LAKE SPAULDING S YUBA SYSTEM,BWS,5390
SPAULDING LAKE,SPG,5013
SCOTTS FLAT,SFL,3085
NEW BULLARDS BAR,BUL,1965
ENGLEBRIGHT (USACE),ENG,551
ROLLINS,RLL,2176
