STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
ALM,2005-01-01,905312761.1861501,M3,15,M,r,STORAGE,20050101 0000
ALM,2005-02-01,927184861.1295424,M3,15,M,r,STORAGE,20050201 0000
ALM,2005-03-01,1008942504.2858657,M3,15,M, ,STORAGE,20050301 0000
ALM,2005-04-01,1072454484.1011865,M3,15,M,r,STORAGE,20050401 0000
ALM,2005-05-01,1231938751.768728,M3,15,M,r,STORAGE,20050501 0000
ALM,2005-06-01,1251110759.9697287,M3,15,M,r,STORAGE,20050601 0000
ALM,2005-07-01,1185394548.1107106,M3,15,M,r,STORAGE,20050701 0000
ALM,2005-08-01,1073663296.301983,M3,15,M,r,STORAGE,20050801 0000
ALM,2005-09-01,997067774.635796,M3,15,M,r,STORAGE,20050901 0000
ALM,2005-10-01,959212217.0414631,M3,15,M, ,STORAGE,20051001 0000
ALM,2005-11-01,989533667.5720558,M3,15,M, ,STORAGE,20051101 0000
ALM,2005-12-01,1126168917.6808674,M3,15,M,r,STORAGE,20051201 0000
