STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
AST,2005-01-01,5237363.882226685,M3,15,M, ,STORAGE,20050101 0000
AST,2005-02-01,7399657.543447452,M3,15,M, ,STORAGE,20050201 0000
AST,2005-03-01,7592080.710104862,M3,15,M, ,STORAGE,20050301 0000
AST,2005-04-01,7592080.710104862,M3,15,M, ,STORAGE,20050401 0000
AST,2005-05-01,7531640.100065035,M3,15,M, ,STORAGE,20050501 0000
AST,2005-06-01,6854458.571251458,M3,15,M, ,STORAGE,20050601 0000
AST,2005-07-01,5729523.135408137,M3,15,M, ,STORAGE,20050701 0000
AST,2005-08-01,1388900.549078485,M3,15,M, ,STORAGE,20050801 0000
AST,2005-09-01,970750.2061498824,M3,15,M, ,STORAGE,20050901 0000
AST,2005-10-01,1620795.1345374149,M3,15,M, ,STORAGE,20051001 0000
AST,2005-11-01,870838.177308535,M3,15,M, ,STORAGE,20051101 0000
AST,2005-12-01,2923351.954987575,M3,15,M, ,STORAGE,20051201 0000
