STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
ATN,2005-01-01,227530526.71768692,M3,15,M, ,STORAGE,20050101 0000
ATN,2005-02-01,274856757.8607094,M3,15,M, ,STORAGE,20050201 0000
ATN,2005-03-01,313898924.9827629,M3,15,M, ,STORAGE,20050301 0000
ATN,2005-04-01,324985459.73863983,M3,15,M, ,STORAGE,20050401 0000
ATN,2005-05-01,328174010.2887001,M3,15,M, ,STORAGE,20050501 0000
ATN,2005-06-01,326241144.24926317,M3,15,M, ,STORAGE,20050601 0000
ATN,2005-07-01,321250476.734546,M3,15,M, ,STORAGE,20050701 0000
ATN,2005-08-01,316143861.92709935,M3,15,M, ,STORAGE,20050801 0000
ATN,2005-09-01,312502623.5426591,M3,15,M, ,STORAGE,20050901 0000
ATN,2005-10-01,309727289.40817726,M3,15,M, ,STORAGE,20051001 0000
ATN,2005-11-01,308617155.75438446,M3,15,M, ,STORAGE,20051101 0000
ATN,2005-12-01,313057690.3695555,M3,15,M, ,STORAGE,20051201 0000
