STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BCL,2005-01-01,59039374.67237353,M3,15,M, ,STORAGE,20050101 0000
BCL,2005-02-01,63155503.56426954,M3,15,M, ,STORAGE,20050201 0000
BCL,2005-03-01,73197279.20374374,M3,15,M, ,STORAGE,20050301 0000
BCL,2005-04-01,85020202.61663653,M3,15,M, ,STORAGE,20050401 0000
BCL,2005-05-01,126377615.14776665,M3,15,M, ,STORAGE,20050501 0000
BCL,2005-06-01,126852505.65522245,M3,15,M, ,STORAGE,20050601 0000
BCL,2005-07-01,117602625.35545374,M3,15,M, ,STORAGE,20050701 0000
BCL,2005-08-01,103070975.82730664,M3,15,M, ,STORAGE,20050801 0000
BCL,2005-09-01,91629198.30221604,M3,15,M, ,STORAGE,20050901 0000
BCL,2005-10-01,77516932.59883508,M3,15,M,,STORAGE,20051001 0000
BCL,2005-11-01,68704938.35139574,M3,15,M,r,STORAGE,20051101 0000
BCL,2005-12-01,94815281.88860123,M3,15,M, ,STORAGE,20051201 0000
