STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BDP,2005-01-01,16689009.262017675,M3,15,M, ,STORAGE,20050101 0000
BDP,2005-02-01,21610601.793832198,M3,15,M,r,STORAGE,20050201 0000
BDP,2005-03-01,32403567.872372825,M3,15,M, ,STORAGE,20050301 0000
BDP,2005-04-01,33279339.977031548,M3,15,M, ,STORAGE,20050401 0000
BDP,2005-05-01,49129581.58951692,M3,15,M,r,STORAGE,20050501 0000
BDP,2005-06-01,52521656.64277255,M3,15,M, ,STORAGE,20050601 0000
BDP,2005-07-01,50067027.786053024,M3,15,M, ,STORAGE,20050701 0000
BDP,2005-08-01,34722513.72696213,M3,15,M, ,STORAGE,20050801 0000
BDP,2005-09-01,22511043.535241872,M3,15,M,e,STORAGE,20050901 0000
BDP,2005-10-01,19575356.761878826,M3,15,M,r,STORAGE,20051001 0000
BDP,2005-11-01,24521618.9304443,M3,15,M,r,STORAGE,20051101 0000
BDP,2005-12-01,39348070.61776525,M3,15,M,r,STORAGE,20051201 0000
