STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BER,2005-01-01,1888452058.9123595,M3,15,M,r,STORAGE,20050101 0000
BER,2005-02-01,1944140063.4321165,M3,15,M, ,STORAGE,20050201 0000
BER,2005-03-01,2002873534.6087782,M3,15,M, ,STORAGE,20050301 0000
BER,2005-04-01,1978050946.1099725,M3,15,M, ,STORAGE,20050401 0000
BER,2005-05-01,1985207607.731423,M3,15,M, ,STORAGE,20050501 0000
BER,2005-06-01,1943195216.3445551,M3,15,M, ,STORAGE,20050601 0000
BER,2005-07-01,1884242185.40081,M3,15,M, ,STORAGE,20050701 0000
BER,2005-08-01,1828361757.7143955,M3,15,M, ,STORAGE,20050801 0000
BER,2005-09-01,1791173513.794176,M3,15,M, ,STORAGE,20050901 0000
BER,2005-10-01,1770432516.6958148,M3,15,M, ,STORAGE,20051001 0000
BER,2005-11-01,1764974359.564667,M3,15,M, ,STORAGE,20051101 0000
BER,2005-12-01,2024207836.471,M3,15,M, ,STORAGE,20051201 0000
