STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BIO,2005-01-01,72047674.13114947,M3,15,M, ,STORAGE,20050101 0000
BIO,2005-02-01,72787763.23367797,M3,15,M, ,STORAGE,20050201 0000
BIO,2005-03-01,73022124.782812,M3,15,M, ,STORAGE,20050301 0000
BIO,2005-04-01,74064416.93553963,M3,15,M, ,STORAGE,20050401 0000
BIO,2005-05-01,73700539.79346313,M3,15,M, ,STORAGE,20050501 0000
BIO,2005-06-01,71245910.9367436,M3,15,M, ,STORAGE,20050601 0000
BIO,2005-07-01,69383353.36204687,M3,15,M, ,STORAGE,20050701 0000
BIO,2005-08-01,68199210.79800127,M3,15,M,e,STORAGE,20050801 0000
BIO,2005-09-01,64668985.77894033,M3,15,M,e,STORAGE,20050901 0000
BIO,2005-10-01,62667044.75660074,M3,15,M,e,STORAGE,20051001 0000
BIO,2005-11-01,62204489.067520425,M3,15,M, ,STORAGE,20051101 0000
BIO,2005-12-01,64770131.28961922,M3,15,M,e,STORAGE,20051201 0000
