STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BLB,2005-01-01,72633578.00398454,M3,15,M, ,STORAGE,20050101 0000
BLB,2005-02-01,101299695.90858844,M3,15,M, ,STORAGE,20050201 0000
BLB,2005-03-01,146006011.62866002,M3,15,M, ,STORAGE,20050301 0000
BLB,2005-04-01,155880033.73822775,M3,15,M, ,STORAGE,20050401 0000
BLB,2005-05-01,155622236.03418034,M3,15,M, ,STORAGE,20050501 0000
BLB,2005-06-01,151103992.06324384,M3,15,M, ,STORAGE,20050601 0000
BLB,2005-07-01,116454253.76469702,M3,15,M, ,STORAGE,20050701 0000
BLB,2005-08-01,75280630.02736147,M3,15,M, ,STORAGE,20050801 0000
BLB,2005-09-01,56435494.51331077,M3,15,M, ,STORAGE,20050901 0000
BLB,2005-10-01,47465614.59066535,M3,15,M, ,STORAGE,20051001 0000
BLB,2005-11-01,47185614.21354206,M3,15,M, ,STORAGE,20051101 0000
BLB,2005-12-01,133502206.24144101,M3,15,M, ,STORAGE,20051201 0000
