STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BOC,2005-01-01,6649700.586218572,M3,15,M, ,STORAGE,20050101 0000
BOC,2005-02-01,6105735.095860125,M3,15,M,r,STORAGE,20050201 0000
BOC,2005-03-01,15170593.119996702,M3,15,M, ,STORAGE,20050301 0000
BOC,2005-04-01,26862767.458109453,M3,15,M, ,STORAGE,20050401 0000
BOC,2005-05-01,36112647.757878155,M3,15,M, ,STORAGE,20050501 0000
BOC,2005-06-01,37280755.058035634,M3,15,M, ,STORAGE,20050601 0000
BOC,2005-07-01,38179963.31760777,M3,15,M, ,STORAGE,20050701 0000
BOC,2005-08-01,38531505.6413088,M3,15,M, ,STORAGE,20050801 0000
BOC,2005-09-01,38125690.11675567,M3,15,M, ,STORAGE,20050901 0000
BOC,2005-10-01,29476515.471872605,M3,15,M, ,STORAGE,20051001 0000
BOC,2005-11-01,27567085.587349076,M3,15,M, ,STORAGE,20051101 0000
BOC,2005-12-01,33797402.3488015,M3,15,M,r,STORAGE,20051201 0000
