STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BRD,2005-01-01,30100657.28167164,M3,15,M, ,STORAGE,20050101 0000
BRD,2005-02-01,31097310.60641002,M3,15,M, ,STORAGE,20050201 0000
BRD,2005-03-01,67002733.4155802,M3,15,M, ,STORAGE,20050301 0000
BRD,2005-04-01,95097749.2293996,M3,15,M, ,STORAGE,20050401 0000
BRD,2005-05-01,115173899.61732271,M3,15,M, ,STORAGE,20050501 0000
BRD,2005-06-01,118670820.62676987,M3,15,M, ,STORAGE,20050601 0000
BRD,2005-07-01,120069589.03054874,M3,15,M, ,STORAGE,20050701 0000
BRD,2005-08-01,106170715.68506351,M3,15,M, ,STORAGE,20050801 0000
BRD,2005-09-01,88415978.1154048,M3,15,M, ,STORAGE,20050901 0000
BRD,2005-10-01,69712693.01267205,M3,15,M, ,STORAGE,20051001 0000
BRD,2005-11-01,56699459.62654593,M3,15,M, ,STORAGE,20051101 0000
BRD,2005-12-01,75769088.83503027,M3,15,M, ,STORAGE,20051201 0000
