STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BRT,2005-01-01,18359143.670056988,M3,15,M, ,STORAGE,20050101 0000
BRT,2005-02-01,27087261.152543098,M3,15,M, ,STORAGE,20050201 0000
BRT,2005-03-01,33634582.74624523,M3,15,M, ,STORAGE,20050301 0000
BRT,2005-04-01,35948594.67348434,M3,15,M, ,STORAGE,20050401 0000
BRT,2005-05-01,36942781.03454762,M3,15,M, ,STORAGE,20050501 0000
BRT,2005-06-01,36899609.17023346,M3,15,M, ,STORAGE,20050601 0000
BRT,2005-07-01,36464190.08157919,M3,15,M, ,STORAGE,20050701 0000
BRT,2005-08-01,35990533.05596095,M3,15,M, ,STORAGE,20050801 0000
BRT,2005-09-01,35605686.72264613,M3,15,M, ,STORAGE,20050901 0000
BRT,2005-10-01,35308417.59979719,M3,15,M, ,STORAGE,20051001 0000
BRT,2005-11-01,35138197.10621563,M3,15,M, ,STORAGE,20051101 0000
BRT,2005-12-01,35096258.72373901,M3,15,M, ,STORAGE,20051201 0000
