STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BRV,2005-01-01,63389865.113403566,M3,15,M, ,STORAGE,20050101 0000
BRV,2005-02-01,68422471.01059736,M3,15,M, ,STORAGE,20050201 0000
BRV,2005-03-01,73783183.07657881,M3,15,M, ,STORAGE,20050301 0000
BRV,2005-04-01,78409973.44921948,M3,15,M, ,STORAGE,20050401 0000
BRV,2005-05-01,82258436.78236768,M3,15,M, ,STORAGE,20050501 0000
BRV,2005-06-01,81031122.35400791,M3,15,M, ,STORAGE,20050601 0000
BRV,2005-07-01,79806274.88932325,M3,15,M, ,STORAGE,20050701 0000
BRV,2005-08-01,78409973.44921948,M3,15,M, ,STORAGE,20050801 0000
BRV,2005-09-01,76515345.34674652,M3,15,M, ,STORAGE,20050901 0000
BRV,2005-10-01,76171203.91407077,M3,15,M, ,STORAGE,20051001 0000
BRV,2005-11-01,75310233.59146261,M3,15,M, ,STORAGE,20051101 0000
BRV,2005-12-01,74629351.61713639,M3,15,M, ,STORAGE,20051201 0000
