STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BTV,2005-01-01,50359362.98155178,M3,15,M, ,STORAGE,20050101 0000
BTV,2005-02-01,49831432.75508145,M3,15,M, ,STORAGE,20050201 0000
BTV,2005-03-01,52302096.87568909,M3,15,M, ,STORAGE,20050301 0000
BTV,2005-04-01,58581752.91064341,M3,15,M, ,STORAGE,20050401 0000
BTV,2005-05-01,50115133.57771737,M3,15,M, ,STORAGE,20050501 0000
BTV,2005-06-01,53328353.76452861,M3,15,M, ,STORAGE,20050601 0000
BTV,2005-07-01,58210474.87754162,M3,15,M, ,STORAGE,20050701 0000
BTV,2005-08-01,58035320.456609875,M3,15,M, ,STORAGE,20050801 0000
BTV,2005-09-01,57101574.70558641,M3,15,M, ,STORAGE,20050901 0000
BTV,2005-10-01,52986679.29552796,M3,15,M, ,STORAGE,20051001 0000
BTV,2005-11-01,39594766.98527475,M3,15,M,r,STORAGE,20051101 0000
BTV,2005-12-01,54643245.40335425,M3,15,M,r,STORAGE,20051201 0000
