STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BUC,2005-01-01,86944434.28321064,M3,15,M, ,STORAGE,20050101 0000
BUC,2005-02-01,114933370.65900095,M3,15,M, ,STORAGE,20050201 0000
BUC,2005-03-01,157694485.52126014,M3,15,M, ,STORAGE,20050301 0000
BUC,2005-04-01,165638108.55506602,M3,15,M, ,STORAGE,20050401 0000
BUC,2005-05-01,171632830.28554687,M3,15,M, ,STORAGE,20050501 0000
BUC,2005-06-01,163947004.9557884,M3,15,M, ,STORAGE,20050601 0000
BUC,2005-07-01,146554911.04636866,M3,15,M, ,STORAGE,20050701 0000
BUC,2005-08-01,128333917.34211698,M3,15,M, ,STORAGE,20050801 0000
BUC,2005-09-01,121398048.9695874,M3,15,M, ,STORAGE,20050901 0000
BUC,2005-10-01,113139888.06720689,M3,15,M, ,STORAGE,20051001 0000
BUC,2005-11-01,112951165.34606212,M3,15,M, ,STORAGE,20051101 0000
BUC,2005-12-01,119594698.52309296,M3,15,M, ,STORAGE,20051201 0000
