STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BUL,2005-01-01,633487901.6821324,M3,15,M,r,STORAGE,20050101 0000
BUL,2005-02-01,709535757.4124484,M3,15,M,r,STORAGE,20050201 0000
BUL,2005-03-01,907513292.7843348,M3,15,M,r,STORAGE,20050301 0000
BUL,2005-04-01,1035483332.9843752,M3,15,M,r,STORAGE,20050401 0000
BUL,2005-05-01,1157485788.0543609,M3,15,M,r,STORAGE,20050501 0000
BUL,2005-06-01,1127862488.2438202,M3,15,M,r,STORAGE,20050601 0000
BUL,2005-07-01,995326098.2811788,M3,15,M,r,STORAGE,20050701 0000
BUL,2005-08-01,906176198.4724333,M3,15,M,r,STORAGE,20050801 0000
BUL,2005-09-01,873356947.220807,M3,15,M,r,STORAGE,20050901 0000
BUL,2005-10-01,832480592.6063204,M3,15,M, ,STORAGE,20051001 0000
BUL,2005-11-01,787472073.8360497,M3,15,M, ,STORAGE,20051101 0000
BUL,2005-12-01,1031711345.525155,M3,15,M, ,STORAGE,20051201 0000
