STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BWN,2005-01-01,34167446.90006575,M3,15,M,r,STORAGE,20050101 0000
BWN,2005-02-01,27876689.528573498,M3,15,M,r,STORAGE,20050201 0000
BWN,2005-03-01,33925684.45990644,M3,15,M, ,STORAGE,20050301 0000
BWN,2005-04-01,45638827.9892575,M3,15,M,r,STORAGE,20050401 0000
BWN,2005-05-01,82149890.3806635,M3,15,M,r,STORAGE,20050501 0000
BWN,2005-06-01,82766631.29943724,M3,15,M,r,STORAGE,20050601 0000
BWN,2005-07-01,77092614.84671874,M3,15,M,r,STORAGE,20050701 0000
BWN,2005-08-01,68334893.8001315,M3,15,M,r,STORAGE,20050801 0000
BWN,2005-09-01,63277618.266186744,M3,15,M,r,STORAGE,20050901 0000
BWN,2005-10-01,63524314.63369624,M3,15,M,r,STORAGE,20051001 0000
BWN,2005-11-01,56863512.71093975,M3,15,M,r,STORAGE,20051101 0000
BWN,2005-12-01,78597462.68852669,M3,15,M, ,STORAGE,20051201 0000
