STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
BWS,2005-01-01,36800930.62322966,M3,15,M, ,STORAGE,20050101 0000
BWS,2005-02-01,24188578.834306475,M3,15,M, ,STORAGE,20050201 0000
BWS,2005-03-01,36866305.160619676,M3,15,M, ,STORAGE,20050301 0000
BWS,2005-04-01,61070919.25881427,M3,15,M, ,STORAGE,20050401 0000
BWS,2005-05-01,150231920.40409777,M3,15,M, ,STORAGE,20050501 0000
BWS,2005-06-01,158710874.55539927,M3,15,M, ,STORAGE,20050601 0000
BWS,2005-07-01,133100091.16240053,M3,15,M, ,STORAGE,20050701 0000
BWS,2005-08-01,105393622.12740858,M3,15,M, ,STORAGE,20050801 0000
BWS,2005-09-01,98102510.9856653,M3,15,M, ,STORAGE,20050901 0000
BWS,2005-10-01,70019829.99022138,M3,15,M, ,STORAGE,20051001 0000
BWS,2005-11-01,57153380.94276341,M3,15,M, ,STORAGE,20051101 0000
BWS,2005-12-01,120266946.12455633,M3,15,M, ,STORAGE,20051201 0000
