STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CAS,2005-01-01,353192722.399676,M3,15,M, ,STORAGE,20050101 0000
CAS,2005-02-01,379875401.50950354,M3,15,M, ,STORAGE,20050201 0000
CAS,2005-03-01,356872198.72108024,M3,15,M, ,STORAGE,20050301 0000
CAS,2005-04-01,391900615.94375414,M3,15,M, ,STORAGE,20050401 0000
CAS,2005-05-01,390320525.7098558,M3,15,M, ,STORAGE,20050501 0000
CAS,2005-06-01,379501656.51272666,M3,15,M, ,STORAGE,20050601 0000
CAS,2005-07-01,387471182.6651211,M3,15,M, ,STORAGE,20050701 0000
CAS,2005-08-01,387687041.9866919,M3,15,M, ,STORAGE,20050801 0000
CAS,2005-09-01,377951169.8429295,M3,15,M, ,STORAGE,20050901 0000
CAS,2005-10-01,381403685.50622493,M3,15,M, ,STORAGE,20051001 0000
CAS,2005-11-01,381914346.9869696,M3,15,M, ,STORAGE,20051101 0000
CAS,2005-12-01,332007671.83979774,M3,15,M, ,STORAGE,20051201 0000
