STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CGS,2005-01-01,9771643.117051294,M3,15,M, ,STORAGE,20050101 0000
CGS,2005-02-01,8223623.410929182,M3,15,M, ,STORAGE,20050201 0000
CGS,2005-03-01,12894819.129721565,M3,15,M, ,STORAGE,20050301 0000
CGS,2005-04-01,13892705.936297491,M3,15,M, ,STORAGE,20050401 0000
CGS,2005-05-01,13733586.779253865,M3,15,M, ,STORAGE,20050501 0000
CGS,2005-06-01,12834378.519681737,M3,15,M, ,STORAGE,20050601 0000
CGS,2005-07-01,10547503.192868672,M3,15,M, ,STORAGE,20050701 0000
CGS,2005-08-01,7088820.120385482,M3,15,M, ,STORAGE,20050801 0000
CGS,2005-09-01,5614809.32451622,M3,15,M, ,STORAGE,20050901 0000
CGS,2005-10-01,4560182.353413107,M3,15,M, ,STORAGE,20051001 0000
CGS,2005-11-01,3980445.8897657823,M3,15,M, ,STORAGE,20051101 0000
CGS,2005-12-01,3311898.733815037,M3,15,M, ,STORAGE,20051201 0000
