STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CHB,2005-01-01,10792966.078540625,M3,15,M, ,STORAGE,20050101 0000
CHB,2005-02-01,11705742.638325775,M3,15,M, ,STORAGE,20050201 0000
CHB,2005-03-01,12186800.5549693,M3,15,M, ,STORAGE,20050301 0000
CHB,2005-04-01,11989443.4609617,M3,15,M, ,STORAGE,20050401 0000
CHB,2005-05-01,11915434.550708849,M3,15,M, ,STORAGE,20050501 0000
CHB,2005-06-01,11794553.330629194,M3,15,M, ,STORAGE,20050601 0000
CHB,2005-07-01,11520720.362693649,M3,15,M, ,STORAGE,20050701 0000
CHB,2005-08-01,11267856.585996412,M3,15,M,e,STORAGE,20050801 0000
CHB,2005-09-01,11029794.591349745,M3,15,M,e,STORAGE,20050901 0000
CHB,2005-10-01,10928649.08067085,M3,15,M,e,STORAGE,20051001 0000
CHB,2005-11-01,10373582.253774475,M3,15,M, ,STORAGE,20051101 0000
CHB,2005-12-01,12020280.506900387,M3,15,M,e,STORAGE,20051201 0000
