STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CHV,2005-01-01,310097333.9594415,M3,15,M,r,STORAGE,20050101 0000
CHV,2005-02-01,295912292.82764524,M3,15,M,r,STORAGE,20050201 0000
CHV,2005-03-01,281973948.0633585,M3,15,M,r,STORAGE,20050301 0000
CHV,2005-04-01,278219229.3498639,M3,15,M, ,STORAGE,20050401 0000
CHV,2005-05-01,322432152.3349165,M3,15,M,r,STORAGE,20050501 0000
CHV,2005-06-01,337974023.488015,M3,15,M,r,STORAGE,20050601 0000
CHV,2005-07-01,321075322.31361425,M3,15,M,r,STORAGE,20050701 0000
CHV,2005-08-01,313791612.06289625,M3,15,M, ,STORAGE,20050801 0000
CHV,2005-09-01,301092916.5453447,M3,15,M,r,STORAGE,20050901 0000
CHV,2005-10-01,287154571.781058,M3,15,M,r,STORAGE,20051001 0000
CHV,2005-11-01,285921089.9435105,M3,15,M,r,STORAGE,20051101 0000
CHV,2005-12-01,314414520.39085776,M3,15,M,r,STORAGE,20051201 0000
