STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CLA,2005-01-01,256564222.20988,M3,15,M, ,STORAGE,20050101 0000
CLA,2005-02-01,326872686.9500875,M3,15,M,e,STORAGE,20050201 0000
CLA,2005-03-01,388180434.72171086,M3,15,M, ,STORAGE,20050301 0000
CLA,2005-04-01,389262198.29324,M3,15,M, ,STORAGE,20050401 0000
CLA,2005-05-01,391630483.4213312,M3,15,M, ,STORAGE,20050501 0000
CLA,2005-06-01,353227259.89112735,M3,15,M, ,STORAGE,20050601 0000
CLA,2005-07-01,278766895.285735,M3,15,M,e,STORAGE,20050701 0000
CLA,2005-08-01,225893696.3192614,M3,15,M,,STORAGE,20050801 0000
CLA,2005-09-01,184569587.79774505,M3,15,M, ,STORAGE,20050901 0000
CLA,2005-10-01,163190880.5893718,M3,15,M, ,STORAGE,20051001 0000
CLA,2005-11-01,167420489.81032217,M3,15,M, ,STORAGE,20051101 0000
CLA,2005-12-01,339348122.2550429,M3,15,M, ,STORAGE,20051201 0000
