STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CLE,2005-01-01,1958253562.617335,M3,15,M, ,STORAGE,20050101 0000
CLE,2005-02-01,2064754851.4348612,M3,15,M, ,STORAGE,20050201 0000
CLE,2005-03-01,2271911958.641776,M3,15,M, ,STORAGE,20050301 0000
CLE,2005-04-01,2428686266.712226,M3,15,M, ,STORAGE,20050401 0000
CLE,2005-05-01,2593311686.678665,M3,15,M, ,STORAGE,20050501 0000
CLE,2005-06-01,2651651677.1491494,M3,15,M, ,STORAGE,20050601 0000
CLE,2005-07-01,2587246656.483444,M3,15,M, ,STORAGE,20050701 0000
CLE,2005-08-01,2460902345.3452916,M3,15,M, ,STORAGE,20050801 0000
CLE,2005-09-01,2331593977.351512,M3,15,M, ,STORAGE,20050901 0000
CLE,2005-10-01,2262329038.2458696,M3,15,M,r,STORAGE,20051001 0000
CLE,2005-11-01,2177455619.967901,M3,15,M, ,STORAGE,20051101 0000
CLE,2005-12-01,2494270496.0146265,M3,15,M, ,STORAGE,20051201 0000
