STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CMN,2005-01-01,379236457.917654,M3,15,M, ,STORAGE,20050101 0000
CMN,2005-02-01,415165316.88173753,M3,15,M, ,STORAGE,20050201 0000
CMN,2005-03-01,458534538.28990763,M3,15,M, ,STORAGE,20050301 0000
CMN,2005-04-01,459582997.851823,M3,15,M, ,STORAGE,20050401 0000
CMN,2005-05-01,490185682.24137646,M3,15,M, ,STORAGE,20050501 0000
CMN,2005-06-01,501459706.23656064,M3,15,M, ,STORAGE,20050601 0000
CMN,2005-07-01,453664751.9952701,M3,15,M, ,STORAGE,20050701 0000
CMN,2005-08-01,403570587.60879105,M3,15,M, ,STORAGE,20050801 0000
CMN,2005-09-01,363716789.4376313,M3,15,M, ,STORAGE,20050901 0000
CMN,2005-10-01,382428708.9132269,M3,15,M, ,STORAGE,20051001 0000
CMN,2005-11-01,376680683.55025554,M3,15,M, ,STORAGE,20051101 0000
CMN,2005-12-01,408874559.51024526,M3,15,M, ,STORAGE,20051201 0000
