STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CNV,2005-01-01,40718468.93928052,M3,15,M, ,STORAGE,20050101 0000
CNV,2005-02-01,41913712.839864045,M3,15,M, ,STORAGE,20050201 0000
CNV,2005-03-01,41951950.77682802,M3,15,M, ,STORAGE,20050301 0000
CNV,2005-04-01,45130633.47218793,M3,15,M, ,STORAGE,20050401 0000
CNV,2005-05-01,52178748.69193434,M3,15,M, ,STORAGE,20050501 0000
CNV,2005-06-01,55162541.25696175,M3,15,M, ,STORAGE,20050601 0000
CNV,2005-07-01,55609061.68215394,M3,15,M, ,STORAGE,20050701 0000
CNV,2005-08-01,50999540.05523893,M3,15,M, ,STORAGE,20050801 0000
CNV,2005-09-01,43634420.00324281,M3,15,M, ,STORAGE,20050901 0000
CNV,2005-10-01,34833527.0923414,M3,15,M, ,STORAGE,20051001 0000
CNV,2005-11-01,31231760.1267027,M3,15,M, ,STORAGE,20051101 0000
CNV,2005-12-01,37634764.34541177,M3,15,M, ,STORAGE,20051201 0000
