STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CRW,2005-01-01,153691836.9584185,M3,15,M, ,STORAGE,20050101 0000
CRW,2005-02-01,165779958.966384,M3,15,M, ,STORAGE,20050201 0000
CRW,2005-03-01,171700671.786612,M3,15,M, ,STORAGE,20050301 0000
CRW,2005-04-01,150114739.62953073,M3,15,M, ,STORAGE,20050401 0000
CRW,2005-05-01,148017820.5057,M3,15,M, ,STORAGE,20050501 0000
CRW,2005-06-01,170590538.13281924,M3,15,M, ,STORAGE,20050601 0000
CRW,2005-07-01,202784414.092809,M3,15,M, ,STORAGE,20050701 0000
CRW,2005-08-01,183418749.24331325,M3,15,M, ,STORAGE,20050801 0000
CRW,2005-09-01,160475987.06492975,M3,15,M, ,STORAGE,20050901 0000
CRW,2005-10-01,140123536.745396,M3,15,M, ,STORAGE,20051001 0000
CRW,2005-11-01,127418673.81865674,M3,15,M, ,STORAGE,20051101 0000
CRW,2005-12-01,144070678.625548,M3,15,M, ,STORAGE,20051201 0000
