STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CTG,2005-01-01,50971169.97297534,M3,15,M, ,STORAGE,20050101 0000
CTG,2005-02-01,30470701.832935892,M3,15,M, ,STORAGE,20050201 0000
CTG,2005-03-01,24216948.916570067,M3,15,M, ,STORAGE,20050301 0000
CTG,2005-04-01,25124791.549005028,M3,15,M, ,STORAGE,20050401 0000
CTG,2005-05-01,105684723.84106979,M3,15,M, ,STORAGE,20050501 0000
CTG,2005-06-01,143437902.4428861,M3,15,M, ,STORAGE,20050601 0000
CTG,2005-07-01,144550503.06035396,M3,15,M, ,STORAGE,20050701 0000
CTG,2005-08-01,109882262.53424394,M3,15,M, ,STORAGE,20050801 0000
CTG,2005-09-01,81948832.84114325,M3,15,M, ,STORAGE,20050901 0000
CTG,2005-10-01,78756581.84557033,M3,15,M, ,STORAGE,20051001 0000
CTG,2005-11-01,96648235.8991968,M3,15,M, ,STORAGE,20051101 0000
CTG,2005-12-01,88145845.59298189,M3,15,M, ,STORAGE,20051201 0000
