STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CUY,2005-01-01,1228547.91019731,M3,15,M, ,STORAGE,20050101 0000
CUY,2005-02-01,8282830.539131462,M3,15,M, ,STORAGE,20050201 0000
CUY,2005-03-01,7127058.057349455,M3,15,M, ,STORAGE,20050301 0000
CUY,2005-04-01,4229609.220950377,M3,15,M, ,STORAGE,20050401 0000
CUY,2005-05-01,2148725.361007745,M3,15,M, ,STORAGE,20050501 0000
CUY,2005-06-01,1080530.0896916098,M3,15,M, ,STORAGE,20050601 0000
CUY,2005-07-01,1013922.0704640449,M3,15,M, ,STORAGE,20050701 0000
CUY,2005-08-01,921410.9326479825,M3,15,M, ,STORAGE,20050801 0000
CUY,2005-09-01,858503.35893306,M3,15,M, ,STORAGE,20050901 0000
CUY,2005-10-01,821498.903806635,M3,15,M, ,STORAGE,20051001 0000
CUY,2005-11-01,809164.0854311599,M3,15,M, ,STORAGE,20051101 0000
CUY,2005-12-01,809164.0854311599,M3,15,M, ,STORAGE,20051201 0000
