STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CVE,2005-01-01,61817175.77053051,M3,15,M, ,STORAGE,20050101 0000
CVE,2005-02-01,71071989.9976494,M3,15,M, ,STORAGE,20050201 0000
CVE,2005-03-01,65645903.394277945,M3,15,M, ,STORAGE,20050301 0000
CVE,2005-04-01,54281835.22495283,M3,15,M, ,STORAGE,20050401 0000
CVE,2005-05-01,47243587.85990679,M3,15,M, ,STORAGE,20050501 0000
CVE,2005-06-01,46915481.69111916,M3,15,M, ,STORAGE,20050601 0000
CVE,2005-07-01,46697155.405873254,M3,15,M, ,STORAGE,20050701 0000
CVE,2005-08-01,45509312.39631501,M3,15,M, ,STORAGE,20050801 0000
CVE,2005-09-01,45188607.11855266,M3,15,M, ,STORAGE,20050901 0000
CVE,2005-10-01,44869135.32262786,M3,15,M, ,STORAGE,20051001 0000
CVE,2005-11-01,43914420.380366094,M3,15,M, ,STORAGE,20051101 0000
CVE,2005-12-01,46805701.80757743,M3,15,M, ,STORAGE,20051201 0000
