STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
CYC,2005-01-01,15272972.112513144,M3,15,M, ,STORAGE,20050101 0000
CYC,2005-02-01,21259059.470131163,M3,15,M, ,STORAGE,20050201 0000
CYC,2005-03-01,25465232.536168136,M3,15,M, ,STORAGE,20050301 0000
CYC,2005-04-01,16194383.045161126,M3,15,M, ,STORAGE,20050401 0000
CYC,2005-05-01,15255703.366787478,M3,15,M, ,STORAGE,20050501 0000
CYC,2005-06-01,15232267.211874077,M3,15,M, ,STORAGE,20050601 0000
CYC,2005-07-01,14873323.997147754,M3,15,M, ,STORAGE,20050701 0000
CYC,2005-08-01,10721424.13196287,M3,15,M, ,STORAGE,20050801 0000
CYC,2005-09-01,14039490.274965644,M3,15,M, ,STORAGE,20050901 0000
CYC,2005-10-01,8535694.3158287,M3,15,M, ,STORAGE,20051001 0000
CYC,2005-11-01,4593486.36302689,M3,15,M, ,STORAGE,20051101 0000
CYC,2005-12-01,12236139.828471199,M3,15,M, ,STORAGE,20051201 0000
