STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
DAV,2005-01-01,53042185.978217594,M3,15,M, ,STORAGE,20050101 0000
DAV,2005-02-01,53246943.96325048,M3,15,M, ,STORAGE,20050201 0000
DAV,2005-03-01,58861753.287766695,M3,15,M, ,STORAGE,20050301 0000
DAV,2005-04-01,67269165.49249046,M3,15,M, ,STORAGE,20050401 0000
DAV,2005-05-01,73682037.56589991,M3,15,M, ,STORAGE,20050501 0000
DAV,2005-06-01,72331374.95378539,M3,15,M, ,STORAGE,20050601 0000
DAV,2005-07-01,69077449.8663351,M3,15,M, ,STORAGE,20050701 0000
DAV,2005-08-01,65758150.24149477,M3,15,M, ,STORAGE,20050801 0000
DAV,2005-09-01,63849953.83880879,M3,15,M, ,STORAGE,20050901 0000
DAV,2005-10-01,62274797.53226063,M3,15,M, ,STORAGE,20051001 0000
DAV,2005-11-01,61607483.858147435,M3,15,M, ,STORAGE,20051101 0000
DAV,2005-12-01,71965030.84803379,M3,15,M, ,STORAGE,20051201 0000
