STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
DLV,2005-01-01,45578387.37921767,M3,15,M, ,STORAGE,20050101 0000
DLV,2005-02-01,47841826.55111733,M3,15,M, ,STORAGE,20050201 0000
DLV,2005-03-01,49059273.12477671,M3,15,M, ,STORAGE,20050301 0000
DLV,2005-04-01,50535750.88432107,M3,15,M, ,STORAGE,20050401 0000
DLV,2005-05-01,49969582.72088677,M3,15,M, ,STORAGE,20050501 0000
DLV,2005-06-01,48590550.02650867,M3,15,M, ,STORAGE,20050601 0000
DLV,2005-07-01,47790020.31394034,M3,15,M, ,STORAGE,20050701 0000
DLV,2005-08-01,46937684.36419501,M3,15,M, ,STORAGE,20050801 0000
DLV,2005-09-01,41588073.634751506,M3,15,M, ,STORAGE,20050901 0000
DLV,2005-10-01,34199517.427841984,M3,15,M, ,STORAGE,20051001 0000
DLV,2005-11-01,31089909.715384737,M3,15,M, ,STORAGE,20051101 0000
DLV,2005-12-01,34621368.216283225,M3,15,M, ,STORAGE,20051201 0000
