STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
DNN,2005-01-01,4329521.249791725,M3,15,M,r,STORAGE,20050101 0000
DNN,2005-02-01,4354190.886542675,M3,15,M,r,STORAGE,20050201 0000
DNN,2005-03-01,4995601.4420673745,M3,15,M,r,STORAGE,20050301 0000
DNN,2005-04-01,7240538.386403824,M3,15,M,r,STORAGE,20050401 0000
DNN,2005-05-01,11298693.6319351,M3,15,M,r,STORAGE,20050501 0000
DNN,2005-06-01,11743980.575289747,M3,15,M, ,STORAGE,20050601 0000
DNN,2005-07-01,11459046.270816274,M3,15,M,r,STORAGE,20050701 0000
DNN,2005-08-01,10890411.143706877,M3,15,M, ,STORAGE,20050801 0000
DNN,2005-09-01,7943623.033805899,M3,15,M,r,STORAGE,20050901 0000
DNN,2005-10-01,7225736.604353255,M3,15,M, ,STORAGE,20051001 0000
DNN,2005-11-01,4378860.523293625,M3,15,M,r,STORAGE,20051101 0000
DNN,2005-12-01,10570939.347782074,M3,15,M, ,STORAGE,20051201 0000
