STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
DNP,2005-01-01,1939033448.6246698,M3,15,M,r,STORAGE,20050101 0000
DNP,2005-02-01,2046346368.4913025,M3,15,M,r,STORAGE,20050201 0000
DNP,2005-03-01,2100619569.3433924,M3,15,M,r,STORAGE,20050301 0000
DNP,2005-04-01,2020443249.9028049,M3,15,M,r,STORAGE,20050401 0000
DNP,2005-05-01,2344848973.1777973,M3,15,M,r,STORAGE,20050501 0000
DNP,2005-06-01,2475598047.9578323,M3,15,M,r,STORAGE,20050601 0000
DNP,2005-07-01,2396655210.3547926,M3,15,M,r,STORAGE,20050701 0000
DNP,2005-08-01,2179562406.9464326,M3,15,M,r,STORAGE,20050801 0000
DNP,2005-09-01,2067315559.72961,M3,15,M,r,STORAGE,20050901 0000
DNP,2005-10-01,2016742804.3901625,M3,15,M,r,STORAGE,20051001 0000
DNP,2005-11-01,1998240576.8269498,M3,15,M,r,STORAGE,20051101 0000
DNP,2005-12-01,2105553496.6935823,M3,15,M,r,STORAGE,20051201 0000
