STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
DON,2005-01-01,16056233.079355806,M3,15,M, ,STORAGE,20050101 0000
DON,2005-02-01,17653592.05897982,M3,15,M, ,STORAGE,20050201 0000
DON,2005-03-01,7432961.553061235,M3,15,M, ,STORAGE,20050301 0000
DON,2005-04-01,14741341.440530172,M3,15,M, ,STORAGE,20050401 0000
DON,2005-05-01,75384242.50171545,M3,15,M, ,STORAGE,20050501 0000
DON,2005-06-01,77650148.63729021,M3,15,M, ,STORAGE,20050601 0000
DON,2005-07-01,75988648.60211374,M3,15,M, ,STORAGE,20050701 0000
DON,2005-08-01,67597271.6612781,M3,15,M, ,STORAGE,20050801 0000
DON,2005-09-01,57580165.658554845,M3,15,M, ,STORAGE,20050901 0000
DON,2005-10-01,49531696.668557405,M3,15,M, ,STORAGE,20051001 0000
DON,2005-11-01,42350365.410355866,M3,15,M, ,STORAGE,20051101 0000
DON,2005-12-01,56689591.77184555,M3,15,M, ,STORAGE,20051201 0000
