STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
DRE,2005-01-01,30405327.295545872,M3,15,M, ,STORAGE,20050101 0000
DRE,2005-02-01,34475817.35945262,M3,15,M, ,STORAGE,20050201 0000
DRE,2005-03-01,38484633.331482,M3,15,M, ,STORAGE,20050301 0000
DRE,2005-04-01,38287276.2374744,M3,15,M, ,STORAGE,20050401 0000
DRE,2005-05-01,44022966.78207027,M3,15,M, ,STORAGE,20050501 0000
DRE,2005-06-01,35955995.56450962,M3,15,M, ,STORAGE,20050601 0000
DRE,2005-07-01,24965672.3919614,M3,15,M, ,STORAGE,20050701 0000
DRE,2005-08-01,14431737.49930575,M3,15,M, ,STORAGE,20050801 0000
DRE,2005-09-01,8604769.298731359,M3,15,M, ,STORAGE,20050901 0000
DRE,2005-10-01,9728471.252737133,M3,15,M, ,STORAGE,20051001 0000
DRE,2005-11-01,13511560.048495315,M3,15,M, ,STORAGE,20051101 0000
DRE,2005-12-01,36195291.04099384,M3,15,M, ,STORAGE,20051201 0000
