STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
EDN,2005-01-01,18378879.37945775,M3,15,M,e,STORAGE,20050101 0000
EDN,2005-02-01,20352450.31953375,M3,15,M,e,STORAGE,20050201 0000
EDN,2005-03-01,24669636.750949997,M3,15,M, ,STORAGE,20050301 0000
EDN,2005-04-01,24669636.750949997,M3,15,M, ,STORAGE,20050401 0000
EDN,2005-05-01,24669636.750949997,M3,15,M, ,STORAGE,20050501 0000
EDN,2005-06-01,24669636.750949997,M3,15,M, ,STORAGE,20050601 0000
EDN,2005-07-01,23840736.956118077,M3,15,M, ,STORAGE,20050701 0000
EDN,2005-08-01,22256946.27670709,M3,15,M, ,STORAGE,20050801 0000
EDN,2005-09-01,20364785.137909222,M3,15,M, ,STORAGE,20050901 0000
EDN,2005-10-01,19809718.31101285,M3,15,M, ,STORAGE,20051001 0000
EDN,2005-11-01,20046546.82382197,M3,15,M, ,STORAGE,20051101 0000
EDN,2005-12-01,24669636.750949997,M3,15,M, ,STORAGE,20051201 0000
