STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
ELC,2005-01-01,63980702.91358882,M3,15,M, ,STORAGE,20050101 0000
ELC,2005-02-01,81506012.8614637,M3,15,M, ,STORAGE,20050201 0000
ELC,2005-03-01,92064617.3908703,M3,15,M, ,STORAGE,20050301 0000
ELC,2005-04-01,97038016.15986182,M3,15,M, ,STORAGE,20050401 0000
ELC,2005-05-01,95967353.9248706,M3,15,M, ,STORAGE,20050501 0000
ELC,2005-06-01,92509904.33422495,M3,15,M, ,STORAGE,20050601 0000
ELC,2005-07-01,86398001.82917708,M3,15,M, ,STORAGE,20050701 0000
ELC,2005-08-01,80619139.42026705,M3,15,M, ,STORAGE,20050801 0000
ELC,2005-09-01,75294198.32757449,M3,15,M, ,STORAGE,20050901 0000
ELC,2005-10-01,70207319.2295286,M3,15,M, ,STORAGE,20051001 0000
ELC,2005-11-01,65460881.118645824,M3,15,M, ,STORAGE,20051101 0000
ELC,2005-12-01,61308981.253460936,M3,15,M, ,STORAGE,20051201 0000
