STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
ENG,2005-01-01,82104251.55267423,M3,15,M, ,STORAGE,20050101 0000
ENG,2005-02-01,80710417.07624556,M3,15,M, ,STORAGE,20050201 0000
ENG,2005-03-01,81361695.48647064,M3,15,M, ,STORAGE,20050301 0000
ENG,2005-04-01,77291205.4225639,M3,15,M, ,STORAGE,20050401 0000
ENG,2005-05-01,87196064.57807031,M3,15,M, ,STORAGE,20050501 0000
ENG,2005-06-01,78677639.00796728,M3,15,M, ,STORAGE,20050601 0000
ENG,2005-07-01,80768390.7226103,M3,15,M, ,STORAGE,20050701 0000
ENG,2005-08-01,80414381.43523416,M3,15,M, ,STORAGE,20050801 0000
ENG,2005-09-01,80519227.3914257,M3,15,M, ,STORAGE,20050901 0000
ENG,2005-10-01,78640634.55284086,M3,15,M, ,STORAGE,20051001 0000
ENG,2005-11-01,79457199.5292973,M3,15,M, ,STORAGE,20051101 0000
ENG,2005-12-01,97524008.00385554,M3,15,M, ,STORAGE,20051201 0000
