STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
ENR,2005-01-01,30759336.582922004,M3,15,M, ,STORAGE,20050101 0000
ENR,2005-02-01,26273163.13976175,M3,15,M, ,STORAGE,20050201 0000
ENR,2005-03-01,27753341.34481875,M3,15,M,r,STORAGE,20050301 0000
ENR,2005-04-01,30343653.203668498,M3,15,M,r,STORAGE,20050401 0000
ENR,2005-05-01,31947179.59248025,M3,15,M,r,STORAGE,20050501 0000
ENR,2005-06-01,28370082.2635925,M3,15,M,r,STORAGE,20050601 0000
ENR,2005-07-01,29956339.906678583,M3,15,M, ,STORAGE,20050701 0000
ENR,2005-08-01,27087261.152543098,M3,15,M, ,STORAGE,20050801 0000
ENR,2005-09-01,25779770.404742748,M3,15,M,r,STORAGE,20050901 0000
ENR,2005-10-01,25163029.485969,M3,15,M,r,STORAGE,20051001 0000
ENR,2005-11-01,26766555.874780748,M3,15,M,r,STORAGE,20051101 0000
ENR,2005-12-01,34044098.716311,M3,15,M,r,STORAGE,20051201 0000
