STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
EPK,2005-01-01,60132239.580440626,M3,15,M, ,STORAGE,20050101 0000
EPK,2005-02-01,60650301.952210575,M3,15,M, ,STORAGE,20050201 0000
EPK,2005-03-01,60230918.127444424,M3,15,M, ,STORAGE,20050301 0000
EPK,2005-04-01,59799199.4843028,M3,15,M, ,STORAGE,20050401 0000
EPK,2005-05-01,59737525.392425425,M3,15,M, ,STORAGE,20050501 0000
EPK,2005-06-01,59540168.29841782,M3,15,M, ,STORAGE,20050601 0000
EPK,2005-07-01,58208007.91386652,M3,15,M, ,STORAGE,20050701 0000
EPK,2005-08-01,55963070.969530076,M3,15,M, ,STORAGE,20050801 0000
EPK,2005-09-01,54211526.76021262,M3,15,M, ,STORAGE,20050901 0000
EPK,2005-10-01,52780687.82865752,M3,15,M, ,STORAGE,20051001 0000
EPK,2005-11-01,52965710.10428965,M3,15,M, ,STORAGE,20051101 0000
EPK,2005-12-01,65374537.390017495,M3,15,M, ,STORAGE,20051201 0000
