STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
EXC,2005-01-01,585903872.8350625,M3,15,M,r,STORAGE,20050101 0000
EXC,2005-02-01,696917238.2143375,M3,15,M,r,STORAGE,20050201 0000
EXC,2005-03-01,842468095.0449425,M3,15,M,r,STORAGE,20050301 0000
EXC,2005-04-01,789428376.0303999,M3,15,M,r,STORAGE,20050401 0000
EXC,2005-05-01,1082997053.366705,M3,15,M,r,STORAGE,20050501 0000
EXC,2005-06-01,1228547910.19731,M3,15,M,r,STORAGE,20050601 0000
EXC,2005-07-01,1169340781.99503,M3,15,M,r,STORAGE,20050701 0000
EXC,2005-08-01,1017548507.0664346,M3,15,M, ,STORAGE,20050801 0000
EXC,2005-09-01,901675223.2472224,M3,15,M,r,STORAGE,20050901 0000
EXC,2005-10-01,835901037.7418395,M3,15,M, ,STORAGE,20051001 0000
EXC,2005-11-01,822409213.402745,M3,15,M, ,STORAGE,20051101 0000
EXC,2005-12-01,843701576.8824899,M3,15,M,r,STORAGE,20051201 0000
