STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
FMD,2005-01-01,66159031.83869771,M3,15,M, ,STORAGE,20050101 0000
FMD,2005-02-01,68137536.7061239,M3,15,M, ,STORAGE,20050201 0000
FMD,2005-03-01,81786013.23858698,M3,15,M, ,STORAGE,20050301 0000
FMD,2005-04-01,95594842.40993124,M3,15,M,r,STORAGE,20050401 0000
FMD,2005-05-01,160661009.34056187,M3,15,M, ,STORAGE,20050501 0000
FMD,2005-06-01,164434230.28161967,M3,15,M, ,STORAGE,20050601 0000
FMD,2005-07-01,152581703.30462575,M3,15,M,r,STORAGE,20050701 0000
FMD,2005-08-01,134449520.2926775,M3,15,M,r,STORAGE,20050801 0000
FMD,2005-09-01,118044211.85329574,M3,15,M,r,STORAGE,20050901 0000
FMD,2005-10-01,102861283.91492356,M3,15,M, ,STORAGE,20051001 0000
FMD,2005-11-01,88301264.30451287,M3,15,M, ,STORAGE,20051101 0000
FMD,2005-12-01,129690747.36341923,M3,15,M, ,STORAGE,20051201 0000
