STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
FOL,2005-01-01,719563964.7517096,M3,15,M, ,STORAGE,20050101 0000
FOL,2005-02-01,751439602.3976121,M3,15,M, ,STORAGE,20050201 0000
FOL,2005-03-01,831253278.1779606,M3,15,M, ,STORAGE,20050301 0000
FOL,2005-04-01,1023896004.6024541,M3,15,M, ,STORAGE,20050401 0000
FOL,2005-05-01,1183091637.5200095,M3,15,M, ,STORAGE,20050501 0000
FOL,2005-06-01,1150606659.8463585,M3,15,M, ,STORAGE,20050601 0000
FOL,2005-07-01,1045254976.1014265,M3,15,M, ,STORAGE,20050701 0000
FOL,2005-08-01,916612688.2999227,M3,15,M, ,STORAGE,20050801 0000
FOL,2005-09-01,804633506.641848,M3,15,M, ,STORAGE,20050901 0000
FOL,2005-10-01,699163408.6405115,M3,15,M, ,STORAGE,20051001 0000
FOL,2005-11-01,637319096.2695549,M3,15,M, ,STORAGE,20051101 0000
FOL,2005-12-01,799973412.2595935,M3,15,M, ,STORAGE,20051201 0000
