STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
FRD,2005-01-01,31849734.527313996,M3,15,M, ,STORAGE,20050101 0000
FRD,2005-02-01,31821364.445050403,M3,15,M, ,STORAGE,20050201 0000
FRD,2005-03-01,34933439.12118275,M3,15,M, ,STORAGE,20050301 0000
FRD,2005-04-01,38191064.654145695,M3,15,M, ,STORAGE,20050401 0000
FRD,2005-05-01,41026839.398667395,M3,15,M, ,STORAGE,20050501 0000
FRD,2005-06-01,38924986.34748646,M3,15,M, ,STORAGE,20050601 0000
FRD,2005-07-01,35529210.84871819,M3,15,M, ,STORAGE,20050701 0000
FRD,2005-08-01,32140836.240975205,M3,15,M, ,STORAGE,20050801 0000
FRD,2005-09-01,31136782.02521154,M3,15,M, ,STORAGE,20050901 0000
FRD,2005-10-01,30200569.31051299,M3,15,M, ,STORAGE,20051001 0000
FRD,2005-11-01,30146296.109660897,M3,15,M, ,STORAGE,20051101 0000
FRD,2005-12-01,36593705.67452168,M3,15,M, ,STORAGE,20051201 0000
