STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
FRL,2005-01-01,10142921.150153091,M3,15,M, ,STORAGE,20050101 0000
FRL,2005-02-01,10366181.36274919,M3,15,M, ,STORAGE,20050201 0000
FRL,2005-03-01,11429442.706715135,M3,15,M, ,STORAGE,20050301 0000
FRL,2005-04-01,13321603.845513,M3,15,M,r,STORAGE,20050401 0000
FRL,2005-05-01,17515442.0931745,M3,15,M,r,STORAGE,20050501 0000
FRL,2005-06-01,17071388.6316574,M3,15,M, ,STORAGE,20050601 0000
FRL,2005-07-01,16405308.439381748,M3,15,M,r,STORAGE,20050701 0000
FRL,2005-08-01,14185041.13179625,M3,15,M,r,STORAGE,20050801 0000
FRL,2005-09-01,8844064.775215574,M3,15,M,r,STORAGE,20050901 0000
FRL,2005-10-01,7968292.67055685,M3,15,M, ,STORAGE,20051001 0000
FRL,2005-11-01,8363006.85857205,M3,15,M,r,STORAGE,20051101 0000
FRL,2005-12-01,16898701.17440075,M3,15,M,r,STORAGE,20051201 0000
