STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
GBL,2005-01-01,8667676.872446282,M3,15,M, ,STORAGE,20050101 0000
GBL,2005-02-01,8773756.310475366,M3,15,M, ,STORAGE,20050201 0000
GBL,2005-03-01,8630672.417319857,M3,15,M, ,STORAGE,20050301 0000
GBL,2005-04-01,8634372.8628325,M3,15,M, ,STORAGE,20050401 0000
GBL,2005-05-01,8639306.79018269,M3,15,M, ,STORAGE,20050501 0000
GBL,2005-06-01,8673844.28163402,M3,15,M, ,STORAGE,20050601 0000
GBL,2005-07-01,8174284.1374272825,M3,15,M, ,STORAGE,20050701 0000
GBL,2005-08-01,6589259.976178745,M3,15,M, ,STORAGE,20050801 0000
GBL,2005-09-01,5815866.864036462,M3,15,M, ,STORAGE,20050901 0000
GBL,2005-10-01,5179390.235861952,M3,15,M, ,STORAGE,20051001 0000
GBL,2005-11-01,4684764.019005405,M3,15,M, ,STORAGE,20051101 0000
GBL,2005-12-01,4652693.49122917,M3,15,M, ,STORAGE,20051201 0000
