STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
GLK,2005-01-01,12014113.097712649,M3,15,M,r,STORAGE,20050101 0000
GLK,2005-02-01,8572698.770955125,M3,15,M,r,STORAGE,20050201 0000
GLK,2005-03-01,3305731.3246273,M3,15,M,r,STORAGE,20050301 0000
GLK,2005-04-01,3034365.3203668497,M3,15,M,r,STORAGE,20050401 0000
GLK,2005-05-01,12273144.283597624,M3,15,M,r,STORAGE,20050501 0000
GLK,2005-06-01,16775352.990646,M3,15,M,r,STORAGE,20050601 0000
GLK,2005-07-01,21215887.605816998,M3,15,M,r,STORAGE,20050701 0000
GLK,2005-08-01,20722494.870798,M3,15,M,r,STORAGE,20050801 0000
GLK,2005-09-01,20105753.952024247,M3,15,M,r,STORAGE,20050901 0000
GLK,2005-10-01,18132183.01194825,M3,15,M,r,STORAGE,20051001 0000
GLK,2005-11-01,12704862.92673925,M3,15,M,r,STORAGE,20051101 0000
GLK,2005-12-01,11021160.218486913,M3,15,M, ,STORAGE,20051201 0000
