STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
GNT,2005-01-01,17971830.373067074,M3,15,M, ,STORAGE,20050101 0000
GNT,2005-02-01,17540111.72992545,M3,15,M, ,STORAGE,20050201 0000
GNT,2005-03-01,19168307.75548815,M3,15,M, ,STORAGE,20050301 0000
GNT,2005-04-01,20821173.417801797,M3,15,M, ,STORAGE,20050401 0000
GNT,2005-05-01,36560401.664907895,M3,15,M, ,STORAGE,20050501 0000
GNT,2005-06-01,48377157.66861295,M3,15,M, ,STORAGE,20050601 0000
GNT,2005-07-01,51843241.63212142,M3,15,M, ,STORAGE,20050701 0000
GNT,2005-08-01,51584210.44623645,M3,15,M, ,STORAGE,20050801 0000
GNT,2005-09-01,50289054.51681157,M3,15,M, ,STORAGE,20050901 0000
GNT,2005-10-01,50424737.5189418,M3,15,M, ,STORAGE,20051001 0000
GNT,2005-11-01,52102272.8180064,M3,15,M, ,STORAGE,20051101 0000
GNT,2005-12-01,52102272.8180064,M3,15,M, ,STORAGE,20051201 0000
