STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
HDG,2005-01-01,29136074.484709498,M3,15,M, ,STORAGE,20050101 0000
HDG,2005-02-01,38605514.55156165,M3,15,M, ,STORAGE,20050201 0000
HDG,2005-03-01,38225602.145597026,M3,15,M, ,STORAGE,20050301 0000
HDG,2005-04-01,37769213.86570445,M3,15,M, ,STORAGE,20050401 0000
HDG,2005-05-01,37113001.528129175,M3,15,M, ,STORAGE,20050501 0000
HDG,2005-06-01,36441987.40850334,M3,15,M, ,STORAGE,20050601 0000
HDG,2005-07-01,35301016.7087719,M3,15,M, ,STORAGE,20050701 0000
HDG,2005-08-01,34119341.108401395,M3,15,M, ,STORAGE,20050801 0000
HDG,2005-09-01,33480397.51655179,M3,15,M, ,STORAGE,20050901 0000
HDG,2005-10-01,33353348.887284398,M3,15,M, ,STORAGE,20051001 0000
HDG,2005-11-01,32969736.035807125,M3,15,M, ,STORAGE,20051101 0000
HDG,2005-12-01,32650264.239882324,M3,15,M, ,STORAGE,20051201 0000
