STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
HHL,2005-01-01,95101449.67491224,M3,15,M,r,STORAGE,20050101 0000
HHL,2005-02-01,97445065.1662525,M3,15,M,r,STORAGE,20050201 0000
HHL,2005-03-01,121520163.6715046,M3,15,M, ,STORAGE,20050301 0000
HHL,2005-04-01,159184531.58101752,M3,15,M, ,STORAGE,20050401 0000
HHL,2005-05-01,257296910.4213832,M3,15,M, ,STORAGE,20050501 0000
HHL,2005-06-01,252247035.77846375,M3,15,M,r,STORAGE,20050601 0000
HHL,2005-07-01,233498111.84774172,M3,15,M,r,STORAGE,20050701 0000
HHL,2005-08-01,206769793.90992495,M3,15,M, ,STORAGE,20050801 0000
HHL,2005-09-01,186132409.28591773,M3,15,M,r,STORAGE,20050901 0000
HHL,2005-10-01,188735055.96314296,M3,15,M, ,STORAGE,20051001 0000
HHL,2005-11-01,164693261.46750465,M3,15,M, ,STORAGE,20051101 0000
HHL,2005-12-01,244307113.19017047,M3,15,M, ,STORAGE,20051201 0000
