STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
HID,2005-01-01,52710379.36391731,M3,15,M, ,STORAGE,20050101 0000
HID,2005-02-01,70874632.9036418,M3,15,M, ,STORAGE,20050201 0000
HID,2005-03-01,90070077.259556,M3,15,M, ,STORAGE,20050301 0000
HID,2005-04-01,96120305.67272648,M3,15,M, ,STORAGE,20050401 0000
HID,2005-05-01,104070096.11572012,M3,15,M, ,STORAGE,20050501 0000
HID,2005-06-01,98075374.38523927,M3,15,M, ,STORAGE,20050601 0000
HID,2005-07-01,83445046.31008837,M3,15,M, ,STORAGE,20050701 0000
HID,2005-08-01,70748817.75621195,M3,15,M, ,STORAGE,20050801 0000
HID,2005-09-01,63214710.692471825,M3,15,M, ,STORAGE,20050901 0000
HID,2005-10-01,55553554.9994643,M3,15,M, ,STORAGE,20051001 0000
HID,2005-11-01,48615219.66325962,M3,15,M, ,STORAGE,20051101 0000
HID,2005-12-01,46861208.49026707,M3,15,M, ,STORAGE,20051201 0000
