STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
HMT,2005-01-01,14595790.583699567,M3,15,M, ,STORAGE,20050101 0000
HMT,2005-02-01,16698877.116718054,M3,15,M, ,STORAGE,20050201 0000
HMT,2005-03-01,16698877.116718054,M3,15,M, ,STORAGE,20050301 0000
HMT,2005-04-01,16698877.116718054,M3,15,M, ,STORAGE,20050401 0000
HMT,2005-05-01,16698877.116718054,M3,15,M, ,STORAGE,20050501 0000
HMT,2005-06-01,16617467.315439919,M3,15,M, ,STORAGE,20050601 0000
HMT,2005-07-01,15969889.350727482,M3,15,M, ,STORAGE,20050701 0000
HMT,2005-08-01,15282839.967213525,M3,15,M, ,STORAGE,20050801 0000
HMT,2005-09-01,14312089.761063641,M3,15,M, ,STORAGE,20050901 0000
HMT,2005-10-01,13826097.917069927,M3,15,M, ,STORAGE,20051001 0000
HMT,2005-11-01,13382044.455552828,M3,15,M, ,STORAGE,20051101 0000
HMT,2005-12-01,13382044.455552828,M3,15,M, ,STORAGE,20051201 0000
