STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
HNN,2005-01-01,38237936.9639725,M3,15,M, ,STORAGE,20050101 0000
HNN,2005-02-01,38237936.9639725,M3,15,M, ,STORAGE,20050201 0000
HNN,2005-03-01,38237936.9639725,M3,15,M, ,STORAGE,20050301 0000
HNN,2005-04-01,38237936.9639725,M3,15,M, ,STORAGE,20050401 0000
HNN,2005-05-01,38237936.9639725,M3,15,M, ,STORAGE,20050501 0000
HNN,2005-06-01,37035292.17236368,M3,15,M, ,STORAGE,20050601 0000
HNN,2005-07-01,34745949.88187552,M3,15,M, ,STORAGE,20050701 0000
HNN,2005-08-01,32668766.467445537,M3,15,M, ,STORAGE,20050801 0000
HNN,2005-09-01,30924623.14915337,M3,15,M, ,STORAGE,20050901 0000
HNN,2005-10-01,29330964.615042,M3,15,M, ,STORAGE,20051001 0000
HNN,2005-11-01,29136074.484709498,M3,15,M, ,STORAGE,20051101 0000
HNN,2005-12-01,38237936.9639725,M3,15,M, ,STORAGE,20051201 0000
