STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
HNS,2005-01-01,23874040.965731863,M3,15,M, ,STORAGE,20050101 0000
HNS,2005-02-01,39103841.213930845,M3,15,M, ,STORAGE,20050201 0000
HNS,2005-03-01,45022087.070483744,M3,15,M, ,STORAGE,20050301 0000
HNS,2005-04-01,46624379.97745795,M3,15,M, ,STORAGE,20050401 0000
HNS,2005-05-01,46740327.270187415,M3,15,M, ,STORAGE,20050501 0000
HNS,2005-06-01,44561998.34507853,M3,15,M, ,STORAGE,20050601 0000
HNS,2005-07-01,40682697.965991646,M3,15,M, ,STORAGE,20050701 0000
HNS,2005-08-01,36419784.735427484,M3,15,M, ,STORAGE,20050801 0000
HNS,2005-09-01,32251849.606354482,M3,15,M, ,STORAGE,20050901 0000
HNS,2005-10-01,30467001.387423247,M3,15,M, ,STORAGE,20051001 0000
HNS,2005-11-01,29919335.45155216,M3,15,M, ,STORAGE,20051101 0000
HNS,2005-12-01,28319509.508253053,M3,15,M, ,STORAGE,20051201 0000
