STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
HNT,2005-01-01,45267549.9561557,M3,15,M, ,STORAGE,20050101 0000
HNT,2005-02-01,49791961.33627993,M3,15,M, ,STORAGE,20050201 0000
HNT,2005-03-01,58938229.16169464,M3,15,M, ,STORAGE,20050301 0000
HNT,2005-04-01,54575403.90228914,M3,15,M,r,STORAGE,20050401 0000
HNT,2005-05-01,98050704.74848832,M3,15,M,r,STORAGE,20050501 0000
HNT,2005-06-01,108099881.2789878,M3,15,M,r,STORAGE,20050601 0000
HNT,2005-07-01,108763494.50758836,M3,15,M,r,STORAGE,20050701 0000
HNT,2005-08-01,108590807.05033171,M3,15,M, ,STORAGE,20050801 0000
HNT,2005-09-01,95245767.0499053,M3,15,M, ,STORAGE,20050901 0000
HNT,2005-10-01,96910967.53059442,M3,15,M, ,STORAGE,20051001 0000
HNT,2005-11-01,63909160.967011064,M3,15,M, ,STORAGE,20051101 0000
HNT,2005-12-01,48588083.06283357,M3,15,M,r,STORAGE,20051201 0000
