STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
HTH,2005-01-01,307877066.651856,M3,15,M,r,STORAGE,20050101 0000
HTH,2005-02-01,279136939.83699924,M3,15,M,r,STORAGE,20050201 0000
HTH,2005-03-01,235595030.9715725,M3,15,M,r,STORAGE,20050301 0000
HTH,2005-04-01,228440836.313797,M3,15,M,r,STORAGE,20050401 0000
HTH,2005-05-01,351418975.5172827,M3,15,M,r,STORAGE,20050501 0000
HTH,2005-06-01,445780336.0896665,M3,15,M,r,STORAGE,20050601 0000
HTH,2005-07-01,438009400.51311725,M3,15,M,r,STORAGE,20050701 0000
HTH,2005-08-01,407665747.3094487,M3,15,M,r,STORAGE,20050801 0000
HTH,2005-09-01,368811069.4267025,M3,15,M,r,STORAGE,20050901 0000
HTH,2005-10-01,329956391.5439562,M3,15,M,r,STORAGE,20051001 0000
HTH,2005-11-01,296566038.2015454,M3,15,M, ,STORAGE,20051101 0000
HTH,2005-12-01,331189873.38150376,M3,15,M,r,STORAGE,20051201 0000
