STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
HWE,2005-01-01,38657320.788738646,M3,15,M, ,STORAGE,20050101 0000
HWE,2005-02-01,38620316.333612226,M3,15,M, ,STORAGE,20050201 0000
HWE,2005-03-01,29899599.7421514,M3,15,M, ,STORAGE,20050301 0000
HWE,2005-04-01,26001797.1355013,M3,15,M, ,STORAGE,20050401 0000
HWE,2005-05-01,27864354.710198022,M3,15,M, ,STORAGE,20050501 0000
HWE,2005-06-01,28456425.992220823,M3,15,M, ,STORAGE,20050601 0000
HWE,2005-07-01,35931325.92775867,M3,15,M, ,STORAGE,20050701 0000
HWE,2005-08-01,31564800.222840525,M3,15,M, ,STORAGE,20050801 0000
HWE,2005-09-01,30750702.210059173,M3,15,M, ,STORAGE,20050901 0000
HWE,2005-10-01,36400049.026026726,M3,15,M, ,STORAGE,20051001 0000
HWE,2005-11-01,32267884.8702426,M3,15,M, ,STORAGE,20051101 0000
HWE,2005-12-01,34229120.99194312,M3,15,M, ,STORAGE,20051201 0000
