STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
ICH,2005-01-01,23189458.545893,M3,15,M,r,STORAGE,20050101 0000
ICH,2005-02-01,19118968.48198625,M3,15,M,r,STORAGE,20050201 0000
ICH,2005-03-01,22942762.1783835,M3,15,M,r,STORAGE,20050301 0000
ICH,2005-04-01,24669636.750949997,M3,15,M,r,STORAGE,20050401 0000
ICH,2005-05-01,51066148.0744665,M3,15,M,r,STORAGE,20050501 0000
ICH,2005-06-01,51559540.809485495,M3,15,M,r,STORAGE,20050601 0000
ICH,2005-07-01,49585969.869409494,M3,15,M,r,STORAGE,20050701 0000
ICH,2005-08-01,45515479.80550275,M3,15,M,r,STORAGE,20050801 0000
ICH,2005-09-01,43048516.13040775,M3,15,M,r,STORAGE,20050901 0000
ICH,2005-10-01,31020834.732482076,M3,15,M,,STORAGE,20051001 0000
ICH,2005-11-01,30862949.057275996,M3,15,M,,STORAGE,20051101 0000
ICH,2005-12-01,43202701.360101186,M3,15,M,,STORAGE,20051201 0000
