STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
INP,2005-01-01,16053766.115680711,M3,15,M, ,STORAGE,20050101 0000
INP,2005-02-01,15988391.578290693,M3,15,M, ,STORAGE,20050201 0000
INP,2005-03-01,16706278.00774334,M3,15,M, ,STORAGE,20050301 0000
INP,2005-04-01,17702931.33248172,M3,15,M, ,STORAGE,20050401 0000
INP,2005-05-01,21215887.605816998,M3,15,M,r,STORAGE,20050501 0000
INP,2005-06-01,21462583.9733265,M3,15,M,r,STORAGE,20050601 0000
INP,2005-07-01,21709280.340836,M3,15,M,r,STORAGE,20050701 0000
INP,2005-08-01,21336768.825896654,M3,15,M,,STORAGE,20050801 0000
INP,2005-09-01,19722141.100546975,M3,15,M,,STORAGE,20050901 0000
INP,2005-10-01,18001433.937168214,M3,15,M, ,STORAGE,20051001 0000
INP,2005-11-01,18132183.01194825,M3,15,M,r,STORAGE,20051101 0000
INP,2005-12-01,20229102.135778997,M3,15,M,r,STORAGE,20051201 0000
