STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
INV,2005-01-01,271489352.44420475,M3,15,M, ,STORAGE,20050101 0000
INV,2005-02-01,288748230.31516933,M3,15,M, ,STORAGE,20050201 0000
INV,2005-03-01,325239556.9971746,M3,15,M, ,STORAGE,20050301 0000
INV,2005-04-01,335462654.46676826,M3,15,M, ,STORAGE,20050401 0000
INV,2005-05-01,335827765.0906823,M3,15,M, ,STORAGE,20050501 0000
INV,2005-06-01,320658405.4525232,M3,15,M, ,STORAGE,20050601 0000
INV,2005-07-01,301625780.6991652,M3,15,M, ,STORAGE,20050701 0000
INV,2005-08-01,280459232.36685014,M3,15,M,,STORAGE,20050801 0000
INV,2005-09-01,267332518.65166965,M3,15,M, ,STORAGE,20050901 0000
INV,2005-10-01,257099553.3273756,M3,15,M, ,STORAGE,20051001 0000
INV,2005-11-01,256731975.73978645,M3,15,M, ,STORAGE,20051101 0000
INV,2005-12-01,318174173.0317025,M3,15,M, ,STORAGE,20051201 0000
