STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
IRC,2005-01-01,12125126.463091925,M3,15,M, ,STORAGE,20050101 0000
IRC,2005-02-01,12952792.776086297,M3,15,M, ,STORAGE,20050201 0000
IRC,2005-03-01,4276481.530777182,M3,15,M, ,STORAGE,20050301 0000
IRC,2005-04-01,11264156.140483769,M3,15,M, ,STORAGE,20050401 0000
IRC,2005-05-01,9016752.232472224,M3,15,M, ,STORAGE,20050501 0000
IRC,2005-06-01,17203371.188274983,M3,15,M, ,STORAGE,20050601 0000
IRC,2005-07-01,21336768.825896654,M3,15,M, ,STORAGE,20050701 0000
IRC,2005-08-01,18196324.067500718,M3,15,M, ,STORAGE,20050801 0000
IRC,2005-09-01,19004254.671094332,M3,15,M, ,STORAGE,20050901 0000
IRC,2005-10-01,15174293.565509344,M3,15,M, ,STORAGE,20051001 0000
IRC,2005-11-01,13558432.35832212,M3,15,M, ,STORAGE,20051101 0000
IRC,2005-12-01,6676837.1866446175,M3,15,M, ,STORAGE,20051201 0000
