STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
ISB,2005-01-01,161309820.78711185,M3,15,M, ,STORAGE,20050101 0000
ISB,2005-02-01,179350726.14308158,M3,15,M, ,STORAGE,20050201 0000
ISB,2005-03-01,248557691.60235918,M3,15,M, ,STORAGE,20050301 0000
ISB,2005-04-01,360377754.1033902,M3,15,M, ,STORAGE,20050401 0000
ISB,2005-05-01,604096496.4570506,M3,15,M, ,STORAGE,20050501 0000
ISB,2005-06-01,652370041.6513095,M3,15,M, ,STORAGE,20050601 0000
ISB,2005-07-01,565730277.3819731,M3,15,M, ,STORAGE,20050701 0000
ISB,2005-08-01,444458043.5598156,M3,15,M, ,STORAGE,20050801 0000
ISB,2005-09-01,371745522.718228,M3,15,M, ,STORAGE,20050901 0000
ISB,2005-10-01,322243429.61377174,M3,15,M, ,STORAGE,20051001 0000
ISB,2005-11-01,301718291.8369813,M3,15,M, ,STORAGE,20051101 0000
ISB,2005-12-01,304114947.0473361,M3,15,M, ,STORAGE,20051201 0000
